seed,status,wall_s,success_func,success_strict,done,upright,box_held,dist,com_rmse_mm,ee_rmse_mm,ee_pic_mm,grf_pic,ctrl_mean,ctrl_p99,e_mech,e_sq,cot
20,ok,33.35842728614807,False,False,False,False,True,-0.36503124592011504,144.85957732888633,140.64099684334454,463.6645251698598,9508.085294170802,5.581752608487814,19.795746048912406,1497.2584512421977,300439.8972068838,nan
21,ok,19.805453300476074,False,False,False,False,True,-0.44837685828149354,158.62725383153315,134.66588029772754,344.48181427729173,7679.319408262183,5.707805262807439,22.14042599196543,1483.4184232265563,236273.96520740364,nan
22,ok,13.597737789154053,False,False,False,False,False,-0.44967234242743226,225.08505169941654,544.2631743689781,901.7533682915356,7021.475557807405,7.231951161641673,18.11315500875935,1583.8271194802705,294466.5967234487,nan
23,ok,14.454659700393677,False,False,False,False,False,-0.4694254131889945,270.3264353148381,532.3739748076505,1030.4934704183647,5081.230571574985,7.328247346113922,20.91348401270805,1877.875553529712,313216.1465541688,nan
24,ok,50.2242214679718,False,False,False,False,False,-0.2599365995313921,132.74804808360898,211.2301311023952,873.1222851727165,10550.379609412863,6.180516479141082,16.70729197561741,2838.8276254202,484207.03514335083,nan
25,ok,14.267370462417603,False,False,False,False,False,-0.510512997775307,239.89505439564024,492.71509174212594,874.0084967778024,4148.624523707715,7.67310593692193,21.78564397152513,1185.206370799795,211952.40744819283,nan
26,ok,83.76789689064026,False,False,False,False,True,0.7563177704058688,96.99416359596046,90.94444056753987,473.2776449270561,14835.45546681355,5.736869735719121,20.2479200437665,1979.4151135885245,533864.0968534781,2.778931910734896
27,ok,388.8720998764038,True,False,True,True,True,3.058782529936904,34.97944154420126,54.348286992957256,70.67729404488703,4038.1645827959046,4.69472024431513,11.101920017972592,1250.0337061959924,1508406.3750229403,0.43392877574719985
28,ok,30.918853759765625,False,False,False,False,False,-0.7316200504592164,221.498530165836,410.4897374146442,948.4239661425004,4740.744834558359,8.884652169583271,20.129397012060515,1409.8529528863883,367924.69635980926,nan
29,ok,368.9950189590454,False,False,False,False,True,2.494036654593219,55.64398533147905,84.52338870520806,880.7379554924008,6892.23541115645,4.884944925658455,11.697577981976755,2079.0568931857642,1609433.8382598176,0.885133688627562
