seed,status,wall_s,success,dist,fell_at,rmse_mm,tstep_mean,wob_pic,grf_pic,mkbrk,ctrl_mean,ctrl_p99,e_mech,e_sq,cot
19,ok,32.73511338233948,False,3.683887655924835,21.426000000003203,104.9128926049542,0.29961428571433135,43.50235949198631,4072.1133432802044,2.869565217391304,1.294975581471634,2.695025032153353,3976.582892985891,523425.26866161637,1.1705556442130884
20,ok,40.07455062866211,True,3.83009447610738,-1.0,53.85686625236285,0.34471428571438645,50.500409633980304,4217.997356116834,3.1142857142857143,1.2600669818601153,2.72737504565157,5463.292934873949,622186.5867036523,1.5467972870691868
21,ok,36.343114376068115,False,3.5590592727306376,23.148000000005307,100.04496617914099,0.3225428571429308,51.97552891318459,4062.181774858411,3.2857142857142856,1.3336202565992434,2.9372120136395092,5347.260701274757,608329.4404107365,1.6292380281968843
22,ok,38.54785919189453,True,3.3406710663275963,-1.0,61.56615546099103,0.33222857142865697,49.18152947773878,4079.259576736855,3.1,1.2559286683590765,2.7413780358619984,5429.418254193614,602340.6069186942,1.7624142029988656
23,ok,38.26806116104126,True,3.531200611049416,-1.0,49.73969243984846,0.3363428571429477,45.99383954663873,4720.277877660477,3.5,1.2298865161975296,2.78436000226065,5422.62612349287,583030.046177546,1.6652355430334886
24,ok,33.837844371795654,True,3.2409038127815686,-1.0,53.418345567529954,0.3192000000000696,52.502962242823536,4516.109357994886,3.2857142857142856,1.1359807361596148,2.4861799669452,6158.5109245705735,570305.6673331617,2.0606203069932767
25,ok,33.750264167785645,True,3.4329045049827904,-1.0,50.8160544999037,0.32691428571436476,50.21311721026855,8457.636283311513,3.342857142857143,1.107810153709011,2.3468699422664976,5457.192403399035,580227.3326004037,1.7238359927627593
26,ok,16.275072813034058,False,1.0117049948744432,11.934999999998825,129.72981893155284,0.3417187499999728,44.3870358316449,4077.7003276880405,3.8125,1.1400555761645703,2.4483220162801427,2526.678557389438,302621.25307355664,2.708223495665189
27,ok,34.63996458053589,False,2.829663468270516,-1.0,50.9995460867067,0.32988571428579694,46.81618834080439,4323.997486719337,3.5285714285714285,1.1316952375315843,2.3239620006643236,5840.570454025032,558223.5531699265,2.2382514789983863
28,ok,34.27710580825806,True,3.5017493978983376,-1.0,53.63139745282327,0.32785714285722306,57.10848318412048,4524.223098312326,3.6285714285714286,1.124253481086245,2.4063319293782124,5429.734351217585,566998.7427339363,1.6814421137946889
29,ok,35.26563763618469,True,3.357393953781331,-1.0,51.49462530675835,0.32805714285722326,50.22999916613482,4233.256514493945,3.2285714285714286,1.1616871328369909,2.474039979279048,5476.435629221046,581740.5534359679,1.7688218088213825
30,ok,32.98186421394348,True,3.0438468166455053,-1.0,49.44207289025668,0.2967714285714707,47.90345140273573,5158.826657635644,3.4285714285714284,1.1780295680825101,2.6632600231096144,4944.882211654738,528001.5750280481,1.7616578342301261
31,ok,31.632168531417847,False,2.7462617480285307,22.6510000000047,88.8638241975786,0.31224285714291816,47.81329142830252,4315.094334322471,3.5428571428571427,1.190351097264433,2.6041000382974744,5390.083265629224,579185.9765444892,2.1283446074492436
