seed,status,wall_s,success,upright,reached_top,state,n_climbed,mi,n_moves,dist,climb,fell_at,grf_pic,clear_min,ctrl_mean,ctrl_p99,qp_feas,e_mech,e_sq,cot
25,ok,220.9094705581665,False,False,True,DONE,3,9,8,0.4000500892956611,-0.41943634394084495,25.28700000000792,9908.617748291836,0.0,4.6766499361113105,18.75965203391386,100.0,5601.975849945003,1120420.7815813886,15.185016268852802
26,ok,96.5445613861084,False,False,False,TRANSFER,2,6,8,0.7488515942700181,-0.4278846969982355,17.37299999999825,9891.4292511255,0.0,4.695493657039963,17.978672045282995,100.0,2969.381631912055,724207.2130250437,4.299903013831668
27,ok,132.86678171157837,False,False,True,TRANSFER,3,8,8,0.8795812731532153,-0.4064444934281263,22.6520000000047,7272.6323359516255,0.0,5.004394472981737,16.183071001432864,100.0,5867.103684717356,931442.2176065192,7.233295204293032
28,ok,114.73394346237183,False,False,False,TRANSFER,2,6,8,1.3811827288151683,-0.4240210949781762,18.43599999999955,9730.502550255598,0.0,5.3931337923302936,17.4544400011655,100.0,6004.872940079571,1175663.0286704972,4.714559100995579
29,ok,123.86736369132996,False,False,False,TRANSFER,2,7,8,0.434328305504751,-0.396926130133893,20.620000000002218,5497.7823781912175,0.0,5.146687929362698,17.879590960219517,100.0,4194.044288921762,873712.6152921707,10.471364557208599
30,ok,136.89752912521362,True,True,True,DONE,3,9,8,1.1134587552205126,0.26823988489480566,-1.0,6433.41805366179,0.0,4.333658386113338,12.008590012555917,100.0,1907.6705763046357,390791.790639425,1.85787994916208
31,ok,96.95736241340637,False,False,False,TRANSFER,2,6,8,0.6480215864721488,-0.44462074924978595,17.432999999998323,7709.167107886582,0.0,4.737778225244681,15.539796086959546,100.0,3167.764588141325,769828.6626115438,5.300927048960414
32,timeout,1800.0382969379425,False,False,False,?,-1,-1,-1,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
33,ok,91.1223132610321,False,False,False,TRANSFER,1,5,8,0.03165643636185747,-0.4507736061630962,14.835999999997217,14082.203498497578,0.0,5.267811417558308,18.25774498865939,100.0,4366.137085039537,917340.535203207,nan
34,ok,131.20301413536072,True,True,True,DONE,3,9,8,1.0798700530508976,0.2681656381246177,-1.0,8439.743083445755,0.0,4.229762615683942,12.451841935981061,100.0,2060.385785165037,394233.26424732193,2.0690236193196654
