mag,dir,seed,status,wall_s,applied,eligible,recovered,xi_max_post,t_reband,n_recov_post,dist,fell_at,success
150.0,+x,9,ok,50.41066598892212,True,True,True,0.2906512200600105,0.253,17.0,3.5314189945285452,-1.0,True
200.0,+x,0,ok,15.04089093208313,True,True,False,1.023712056556004,0.0,2.0,0.29452536284869824,7.283000000000767,False
200.0,+x,1,ok,54.01998496055603,True,True,True,0.2838119814225499,nan,14.0,3.556296589752472,-1.0,True
200.0,+x,2,ok,19.624399185180664,True,True,False,1.0564579803210592,0.0,3.0,0.382061249052046,7.639000000000886,False
200.0,+x,3,ok,54.983954191207886,True,True,True,0.22485459346036568,0.0,18.0,3.326630022332743,-1.0,True
200.0,+x,4,ok,24.347443342208862,True,True,True,0.21933341848776794,0.0,10.0,0.7396161493226102,10.939999999999376,False
200.0,+x,5,ok,60.89042949676514,True,True,True,0.20834250909680543,0.0,15.0,3.3703289361019304,-1.0,True
200.0,+x,6,ok,18.32516837120056,True,True,False,1.1893553633953695,0.11800000000000001,19.0,1.9119394207651985,8.856000000000531,False
200.0,+x,7,ok,15.78523850440979,True,True,False,0.9951937605334327,nan,4.0,0.43750815757248757,7.489000000000836,False
200.0,+x,8,ok,17.418344736099243,True,True,False,0.9975473622621097,0.0,2.0,0.45824984707638805,7.751000000000923,False
200.0,+x,9,ok,52.89768981933594,True,True,True,0.27804227461129977,0.915,13.0,3.492472433397115,-1.0,True
250.0,+x,0,ok,16.483487367630005,True,True,False,1.036906981177869,0.0,2.0,0.422974409143235,7.586000000000868,False
250.0,+x,1,ok,41.964417695999146,True,True,True,0.23192185596181936,2.948,28.0,3.1412184650312334,20.313000000001843,False
250.0,+x,2,ok,14.869456052780151,True,True,False,1.0119104342189598,0.0,5.0,0.40349668472445266,7.415000000000811,False
250.0,+x,3,ok,49.88308358192444,True,True,True,0.2988835582032195,0.0,12.0,3.464179737532452,-1.0,True
250.0,+x,4,ok,15.358288526535034,True,True,False,1.066213618038719,0.126,17.0,1.4642658517521483,6.917000000000645,False
250.0,+x,5,ok,13.674084663391113,True,True,False,1.1685296260262097,nan,7.0,1.6654186560052853,6.596000000000537,False
250.0,+x,6,ok,15.837430477142334,True,True,False,1.1777234785124846,0.47300000000000003,17.0,1.6555836829312505,7.648000000000889,False
250.0,+x,7,ok,17.17053747177124,True,True,False,1.0507612876267831,0.0,21.0,1.5751797501181566,8.312000000000833,False
250.0,+x,8,ok,13.966453313827515,True,True,False,1.1576081460854777,nan,10.0,1.5973462346517193,6.797000000000605,False
250.0,+x,9,ok,49.560054540634155,True,True,True,0.26517041427896715,0.324,13.0,3.331204332557516,-1.0,True
300.0,+x,0,ok,15.744192123413086,True,True,False,1.2214129744232196,nan,15.0,1.7650145506325217,7.444000000000821,False
300.0,+x,1,ok,39.54161834716797,True,True,True,0.2180084905930045,1.088,24.0,2.6725787366597027,19.756000000001162,False
300.0,+x,2,ok,18.42196774482727,True,True,False,1.196786560966048,0.464,18.0,1.7390311151329696,7.747000000000922,False
300.0,+x,3,ok,14.84207558631897,True,True,False,1.210494107096511,0.0,12.0,1.6672463215902835,7.140000000000719,False
300.0,+x,4,ok,13.396525382995605,True,True,False,1.0532616542745432,nan,12.0,1.42112593768269,6.233000000000416,False
300.0,+x,5,ok,13.08040475845337,True,True,False,1.0571465574353025,nan,7.0,1.5418682346472086,6.380000000000465,False
300.0,+x,6,ok,14.568380117416382,True,True,False,1.2232511219940547,nan,9.0,1.8021266316969538,6.741000000000586,False
300.0,+x,7,ok,13.26779055595398,True,True,False,1.0468172150710469,nan,13.0,1.5270683877016578,6.473000000000496,False
300.0,+x,8,ok,14.441369533538818,True,True,False,1.095860038788198,nan,8.0,1.580588908790288,6.730000000000582,False
300.0,+x,9,ok,59.14093065261841,True,True,True,0.21707449964714642,0.267,15.0,3.344543709159485,-1.0,True
100.0,-x,0,ok,48.06624102592468,True,True,True,0.1919391986700536,0.0,11.0,3.448367762365704,-1.0,True
100.0,-x,1,ok,49.984965085983276,True,True,True,0.26066548002805195,1.36,13.0,3.6855291525283334,-1.0,True
100.0,-x,2,ok,53.09014868736267,True,True,True,0.23864009203517453,0.0,12.0,3.7627873252493256,-1.0,True
100.0,-x,3,ok,51.16360092163086,True,True,True,0.22820817762152099,0.0,12.0,3.4521793736156074,-1.0,True
100.0,-x,4,ok,49.38541030883789,True,True,True,0.2017876623727211,0.0,17.0,3.244058037692611,-1.0,True
100.0,-x,5,ok,54.20244812965393,True,True,True,0.38744135122917805,0.0,13.0,3.6468506291408955,-1.0,True
100.0,-x,6,ok,41.154375314712524,True,True,True,0.32163590410537723,0.0,16.0,3.1322374656081835,21.003000000002686,False
