mag,dir,seed,status,wall_s,applied,eligible,recovered,xi_max_post,t_reband,n_recov_post,dist,fell_at,success
200.0,-y,1,ok,35.235344648361206,True,True,True,0.23127560835216376,2.224,19.0,1.5524354225374082,17.743999999998703,False
200.0,-y,2,ok,48.21875810623169,True,True,True,0.19475039524108423,0.0,14.0,3.6212782848310905,-1.0,True
200.0,-y,3,ok,53.26968789100647,True,True,True,0.1638666212906556,0.0,14.0,3.469020857204784,-1.0,True
200.0,-y,4,ok,55.21092104911804,True,True,True,0.37059431640804225,0.0,12.0,3.691142341370413,-1.0,True
200.0,-y,5,ok,53.9596745967865,True,True,True,0.19406204678848604,0.23,16.0,3.4116786220222086,-1.0,True
200.0,-y,6,ok,55.492111921310425,True,True,True,0.20644124359623278,0.179,13.0,3.346892414790695,-1.0,True
200.0,-y,7,ok,28.13999104499817,True,True,True,0.25310674526672133,0.0,12.0,2.023443093334517,14.150999999997596,False
200.0,-y,8,ok,48.711198806762695,True,True,True,0.1702638453080696,1.131,18.0,3.2421100166095957,-1.0,True
200.0,-y,9,ok,50.680331230163574,True,True,True,0.4576141180797381,0.25,15.0,3.5777374343172927,-1.0,True
300.0,-y,0,ok,50.82335638999939,True,True,True,0.26587691699090293,0.181,15.0,3.481854917376407,-1.0,True
300.0,-y,1,ok,54.85830473899841,True,True,True,0.19556172542074302,1.0130000000000001,17.0,3.251839419626291,-1.0,True
300.0,-y,2,ok,37.29714274406433,True,True,True,0.20242094027806146,0.0,45.0,2.169992809006217,16.49099999999717,False
300.0,-y,3,ok,64.94843363761902,True,True,True,0.19078267512073013,0.447,16.0,3.2901099482527156,-1.0,True
300.0,-y,4,ok,53.85046625137329,True,True,True,0.15522388318286767,0.23900000000000002,14.0,2.7392307033446057,24.781000000007303,False
300.0,-y,5,ok,73.38645100593567,True,True,True,0.16572658173890958,0.202,12.0,3.6322165967404434,-1.0,True
300.0,-y,6,ok,19.25580906867981,True,True,False,1.0618178124221962,nan,10.0,0.9058155200403915,6.792000000000603,False
300.0,-y,7,ok,64.21132230758667,True,True,True,0.21055633409141183,1.222,13.0,3.586776476795047,-1.0,True
300.0,-y,8,ok,49.66071057319641,True,True,True,0.32620374290675624,1.463,10.0,2.105926355998171,18.840000000000042,False
300.0,-y,9,ok,17.504388093948364,True,True,False,1.004853547886352,nan,15.0,1.1467975522916662,7.133000000000717,False
400.0,-y,0,ok,58.370421171188354,True,True,True,0.22768800706509254,0.671,18.0,3.2562724528522335,-1.0,True
400.0,-y,1,ok,63.62791061401367,True,True,True,0.21458443380897288,1.554,15.0,3.5174715300367243,-1.0,True
400.0,-y,2,ok,65.20131254196167,True,True,True,0.16495561038223777,0.672,14.0,3.5505599210878365,-1.0,True
400.0,-y,3,ok,15.509195327758789,True,True,False,0.959913628369346,nan,9.0,0.8940315721352985,6.640000000000552,False
400.0,-y,4,ok,64.97670650482178,True,True,True,0.2690835528809734,0.468,17.0,2.8858211194684174,-1.0,False
400.0,-y,5,ok,66.29108810424805,True,True,True,0.25148655551864246,0.212,16.0,3.4684756185441525,-1.0,True
400.0,-y,6,ok,14.920607566833496,True,True,False,0.9378305834803308,nan,7.0,0.7985514331932737,6.211000000000409,False
400.0,-y,7,ok,61.21071696281433,True,True,True,0.20461788215434887,0.241,16.0,2.659370655188209,24.782000000007304,False
400.0,-y,8,ok,61.522869348526,True,True,True,0.21559651684094772,0.232,16.0,3.3873391449644075,-1.0,True
400.0,-y,9,ok,14.925134181976318,True,True,False,0.9609133552235016,nan,7.0,0.8793891330369167,6.2040000000004065,False
500.0,-y,0,ok,16.501790046691895,True,True,False,1.060888036710401,nan,8.0,0.8135429200950647,6.392000000000469,False
500.0,-y,1,ok,52.98743438720703,True,True,True,0.2762821209741667,0.277,21.0,3.484124363927277,19.74600000000115,False
500.0,-y,2,ok,15.69054388999939,True,True,False,0.910293978463652,nan,7.0,0.8348750423440607,6.523000000000513,False
500.0,-y,3,ok,17.49267864227295,True,True,False,1.0764013416288967,nan,6.0,0.8224556505849722,6.331000000000449,False
500.0,-y,4,ok,15.306056261062622,True,True,False,0.892380065808057,nan,9.0,0.7673085816154114,6.21500000000041,False
